keyword,repo,file,url,raw_url
"filename:README.md ""Harvard University"" in:file",vanbumi/JavaScript-Tutorial,readme.md,https://github.com/vanbumi/JavaScript-Tutorial/blob/2f6abbbb54d32eacdfa6c688f728d737c2201b1b/readme.md,https://raw.githubusercontent.com/vanbumi/JavaScript-Tutorial/2f6abbbb54d32eacdfa6c688f728d737c2201b1b/readme.md
"filename:README.md ""Harvard University"" in:file",ds-dti/DS01_02_newsclassifier,readme.md,https://github.com/ds-dti/DS01_02_newsclassifier/blob/0fca1dbbe6733ed29762371f6c5ef1ab9bbcdaf6/readme.md,https://raw.githubusercontent.com/ds-dti/DS01_02_newsclassifier/0fca1dbbe6733ed29762371f6c5ef1ab9bbcdaf6/readme.md
"filename:README.md ""Harvard University"" in:file",ir-nlp-csui/aksara,README.md,https://github.com/ir-nlp-csui/aksara/blob/5ff34f2468561f849a4cf883619681a3369c659c/README.md,https://raw.githubusercontent.com/ir-nlp-csui/aksara/5ff34f2468561f849a4cf883619681a3369c659c/README.md
"filename:README.md ""Harvard University"" in:file",haryoa/indo-collex,README.md,https://github.com/haryoa/indo-collex/blob/df626e812cd5924794fabf40003368a69f4e953c/README.md,https://raw.githubusercontent.com/haryoa/indo-collex/df626e812cd5924794fabf40003368a69f4e953c/README.md
"filename:README.md ""Harvard University"" in:file",anvie/indobert-embedding,README.md,https://github.com/anvie/indobert-embedding/blob/7e7c2faddfc133eaf5d518d62058e5a951993f15/README.md,https://raw.githubusercontent.com/anvie/indobert-embedding/7e7c2faddfc133eaf5d518d62058e5a951993f15/README.md
"extension:ipynb ""Harvard University"" in:file",yohanesnuwara/python-bootcamp-for-geoengineers,petroweek_notebooks/petroweek2020_unit1.ipynb,https://github.com/yohanesnuwara/python-bootcamp-for-geoengineers/blob/2533b816e62517f53c36d2c38d7b738884b4471c/petroweek_notebooks/petroweek2020_unit1.ipynb,https://raw.githubusercontent.com/yohanesnuwara/python-bootcamp-for-geoengineers/2533b816e62517f53c36d2c38d7b738884b4471c/petroweek_notebooks/petroweek2020_unit1.ipynb
"extension:ipynb ""Harvard University"" in:file",ikhlas-firlana/LangChain,linkedin.ipynb,https://github.com/ikhlas-firlana/LangChain/blob/8e4a2a2b0902fc37bc4d2addd65f64e75e005281/linkedin.ipynb,https://raw.githubusercontent.com/ikhlas-firlana/LangChain/8e4a2a2b0902fc37bc4d2addd65f64e75e005281/linkedin.ipynb
"extension:ipynb ""Harvard University"" in:file",brytjy/linkedin-analysis,linkedin-scraping.ipynb,https://github.com/brytjy/linkedin-analysis/blob/bac71097073df772d6be98810b9d1f423432d8ad/linkedin-scraping.ipynb,https://raw.githubusercontent.com/brytjy/linkedin-analysis/bac71097073df772d6be98810b9d1f423432d8ad/linkedin-scraping.ipynb
"extension:ipynb ""Harvard University"" in:file",hiseulgi/intro-selenium,Scraping_FB.ipynb,https://github.com/hiseulgi/intro-selenium/blob/20e056029cc3da9628547d69f6db80d121afd4f8/Scraping_FB.ipynb,https://raw.githubusercontent.com/hiseulgi/intro-selenium/20e056029cc3da9628547d69f6db80d121afd4f8/Scraping_FB.ipynb
"extension:ipynb ""Harvard University"" in:file",zoe-weinstein/CS-220,p12/main.ipynb,https://github.com/zoe-weinstein/CS-220/blob/a679e416ed4e157629a51da010d8ce122f0bcb6b/p12/main.ipynb,https://raw.githubusercontent.com/zoe-weinstein/CS-220/a679e416ed4e157629a51da010d8ce122f0bcb6b/p12/main.ipynb
"extension:ipynb ""Harvard University"" in:file",Henry-Gbriel/Tratamento-de-dados-Ranking-Universidades-,Ranking_Universidade.ipynb,https://github.com/Henry-Gbriel/Tratamento-de-dados-Ranking-Universidades-/blob/9fba76fa4bb8f172acffe8680d4bd9a6864bc01a/Ranking_Universidade.ipynb,https://raw.githubusercontent.com/Henry-Gbriel/Tratamento-de-dados-Ranking-Universidades-/9fba76fa4bb8f172acffe8680d4bd9a6864bc01a/Ranking_Universidade.ipynb
"extension:ipynb ""Harvard University"" in:file",kokoedwin/datavidia-2020-preliminary-round-,Notebook_Bebas_Team.ipynb,https://github.com/kokoedwin/datavidia-2020-preliminary-round-/blob/809c6ffc45fb61b8bec71ab9e217d2a8644e68b9/Notebook_Bebas_Team.ipynb,https://raw.githubusercontent.com/kokoedwin/datavidia-2020-preliminary-round-/809c6ffc45fb61b8bec71ab9e217d2a8644e68b9/Notebook_Bebas_Team.ipynb
"extension:ipynb ""Harvard University"" in:file",lontonggg/NLP_with_HF_Transformers,hugging_face_transformers.ipynb,https://github.com/lontonggg/NLP_with_HF_Transformers/blob/5ca61f6d0bf2cfacd7add6368b54c281a6a05b20/hugging_face_transformers.ipynb,https://raw.githubusercontent.com/lontonggg/NLP_with_HF_Transformers/5ca61f6d0bf2cfacd7add6368b54c281a6a05b20/hugging_face_transformers.ipynb
"extension:ipynb ""Harvard University"" in:file",natanaelwgm/2025w-PromedUI-NLPCC-Ganjil20242025,nlpcc_2025_week6_livecoding.ipynb,https://github.com/natanaelwgm/2025w-PromedUI-NLPCC-Ganjil20242025/blob/ed461ca96819f38b9b5465facd36f6528d4bf927/nlpcc_2025_week6_livecoding.ipynb,https://raw.githubusercontent.com/natanaelwgm/2025w-PromedUI-NLPCC-Ganjil20242025/ed461ca96819f38b9b5465facd36f6528d4bf927/nlpcc_2025_week6_livecoding.ipynb
"extension:ipynb ""Harvard University"" in:file",ameyabaxi/programming-portfolio,Python Databases and Plotting.ipynb,https://github.com/ameyabaxi/programming-portfolio/blob/fd0be984cc70e24d292ff94961405f74038c65bd/Python%20Databases%20and%20Plotting.ipynb,https://raw.githubusercontent.com/ameyabaxi/programming-portfolio/fd0be984cc70e24d292ff94961405f74038c65bd/Python%20Databases%20and%20Plotting.ipynb
"extension:ipynb ""Harvard University"" in:file",rustandy-muslim/202155202067-rustandy,RussKelompok1.ipynb,https://github.com/rustandy-muslim/202155202067-rustandy/blob/aa0846aae16ad9f3b57cf3b1191ca1416d3611f2/RussKelompok1.ipynb,https://raw.githubusercontent.com/rustandy-muslim/202155202067-rustandy/aa0846aae16ad9f3b57cf3b1191ca1416d3611f2/RussKelompok1.ipynb
"extension:ipynb ""Harvard University"" in:file",oadeniran/miscellaneous,Sample-starting_point.ipynb,https://github.com/oadeniran/miscellaneous/blob/93f06655da9b6b5fabf8a9e4ff7bfa34c4950d91/Sample-starting_point.ipynb,https://raw.githubusercontent.com/oadeniran/miscellaneous/93f06655da9b6b5fabf8a9e4ff7bfa34c4950d91/Sample-starting_point.ipynb
"extension:ipynb ""Harvard University"" in:file",AndyKruff/MA_Scholarly_Impact_TREC_CLEF,code/data_acquisition/Acquisition/Scrape_OpenAlex_TREC.ipynb,https://github.com/AndyKruff/MA_Scholarly_Impact_TREC_CLEF/blob/2c22cfa55c7ceda39360d63fa906774c305ad88c/code/data_acquisition/Acquisition/Scrape_OpenAlex_TREC.ipynb,https://raw.githubusercontent.com/AndyKruff/MA_Scholarly_Impact_TREC_CLEF/2c22cfa55c7ceda39360d63fa906774c305ad88c/code/data_acquisition/Acquisition/Scrape_OpenAlex_TREC.ipynb
"extension:ipynb ""Harvard University"" in:file",panderior/scout-mate-django,static/CV Summarization trial ollama(solar)_Final.ipynb,https://github.com/panderior/scout-mate-django/blob/a34bab96cf86a5435c354b8a19baa2bbeb28a278/static/CV%20Summarization%20trial%20ollama(solar)_Final.ipynb,https://raw.githubusercontent.com/panderior/scout-mate-django/a34bab96cf86a5435c354b8a19baa2bbeb28a278/static/CV%20Summarization%20trial%20ollama(solar)_Final.ipynb
