keyword,repo,file,url
"extension:ipynb ""University of Indonesia"" in:file",natanaelwgm/2025w-PromedUI-NLPCC-Ganjil20242025,nlpcc_2025_week6_livecoding.ipynb,https://github.com/natanaelwgm/2025w-PromedUI-NLPCC-Ganjil20242025/blob/ed461ca96819f38b9b5465facd36f6528d4bf927/nlpcc_2025_week6_livecoding.ipynb
"extension:ipynb ""University of Indonesia"" in:file",ameyabaxi/programming-portfolio,Python Databases and Plotting.ipynb,https://github.com/ameyabaxi/programming-portfolio/blob/fd0be984cc70e24d292ff94961405f74038c65bd/Python%20Databases%20and%20Plotting.ipynb
"extension:ipynb ""University of Indonesia"" in:file",rustandy-muslim/202155202067-rustandy,RussKelompok1.ipynb,https://github.com/rustandy-muslim/202155202067-rustandy/blob/aa0846aae16ad9f3b57cf3b1191ca1416d3611f2/RussKelompok1.ipynb
"extension:ipynb ""University of Indonesia"" in:file",whisnumurtyga/social-media-sentiment-analysis,unit/twitter-api.ipynb,https://github.com/whisnumurtyga/social-media-sentiment-analysis/blob/a77bec32b21b3e2bc3939a959db89a8926c61f8f/unit/twitter-api.ipynb
"extension:ipynb ""University of Indonesia"" in:file",VeckoTheGecko/presidential-speeches,Obama/Scraping obama.ipynb,https://github.com/VeckoTheGecko/presidential-speeches/blob/dc8ac7091d84a107ad93506a493a28329f2ea970/Obama/Scraping%20obama.ipynb
"extension:ipynb ""University of Indonesia"" in:file",oadeniran/miscellaneous,Sample-starting_point.ipynb,https://github.com/oadeniran/miscellaneous/blob/93f06655da9b6b5fabf8a9e4ff7bfa34c4950d91/Sample-starting_point.ipynb
"extension:ipynb ""University of Indonesia"" in:file",AndyKruff/MA_Scholarly_Impact_TREC_CLEF,code/data_acquisition/Acquisition/Scrape_OpenAlex_TREC.ipynb,https://github.com/AndyKruff/MA_Scholarly_Impact_TREC_CLEF/blob/2c22cfa55c7ceda39360d63fa906774c305ad88c/code/data_acquisition/Acquisition/Scrape_OpenAlex_TREC.ipynb
"extension:ipynb ""University of Indonesia"" in:file",panderior/scout-mate-django,static/CV Summarization trial ollama(solar)_Final.ipynb,https://github.com/panderior/scout-mate-django/blob/a34bab96cf86a5435c354b8a19baa2bbeb28a278/static/CV%20Summarization%20trial%20ollama(solar)_Final.ipynb
"extension:ipynb ""University of Indonesia"" in:file",SuikaUI/Hydrostatic-Pressure-Prediction-NDC2025,notebook/2nd-place-regression-rumble-by-neuronatara.ipynb,https://github.com/SuikaUI/Hydrostatic-Pressure-Prediction-NDC2025/blob/e3ede716e5fcd94ca3db6c78dc593ff529179b49/notebook/2nd-place-regression-rumble-by-neuronatara.ipynb
"extension:ipynb ""University of Indonesia"" in:file",timernst/GA-DSI,curriculum/week-03/5.1-regression-challenge/Untitled.ipynb,https://github.com/timernst/GA-DSI/blob/bc9a9b0d1bf46b90595c11dbb35053e4bd1b19c4/curriculum/week-03/5.1-regression-challenge/Untitled.ipynb
